time,frequency,tstart,tend,fstart,fend,snr,q,amplitude,phase,Channel Name,Label
1238171688.5625,19.3483391290243,1238171688.5,1238171688.625,18.94411799045694,19.761185357920333,6.007687482085587,29.90697562442441,2.276121378015488e-21,2.9973367276896727,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171688.625,19.138750149536417,1238171688.5,1238171688.75,18.95916356775154,19.320037826427203,6.285705202022022,66.87403049764217,1.7678306400214733e-21,-2.006127214792821,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171688.625,19.503042711679857,1238171688.5,1238171688.75,19.320037826427203,19.687781071179675,6.009292052901954,66.87403049764217,2.1380434449125947e-21,1.074463059320118,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171688.6875,19.3483391290243,1238171688.625,1238171688.75,18.94411799045694,19.761185357920333,6.7288352049561,29.90697562442441,2.5493412739616965e-21,3.050490864656899,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171688.8125,19.3483391290243,1238171688.75,1238171688.875,18.94411799045694,19.761185357920333,6.214187107743679,29.90697562442441,2.3543575069609653e-21,3.0277613807693595,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171688.875,19.138750149536417,1238171688.75,1238171689.0,18.95916356775154,19.320037826427203,6.31529281151696,66.87403049764217,1.776152042465437e-21,-1.9784964284069304,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.445312,47.02481784316241,1238171788.4375,1238171788.453125,44.87146921786776,49.28150407658271,6.557944142257815,13.374806099528442,6.667240411717012e-23,-0.5007036687325052,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.46875,81.74309812265228,1238171788.4375,1238171788.5,80.97606979208449,82.51739196340604,6.000735221369933,66.87403049764217,2.8099764536755225e-23,-2.2149417097411908,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.46875,45.02106119274709,1238171788.4375,1238171788.5,44.08049133331436,45.981700512245126,6.474161568206412,29.90697562442441,6.26505590608761e-23,-1.008990819635894,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.460937,47.02481784316241,1238171788.453125,1238171788.46875,44.87146921786776,49.28150407658271,7.305197228295646,13.374806099528442,7.426947396854033e-23,-0.5533927045313838,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.476562,47.02481784316241,1238171788.46875,1238171788.484375,44.87146921786776,49.28150407658271,7.316521221875975,13.374806099528442,7.438460118826502e-23,-0.5991760860527942,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.484375,42.81672619095146,1238171788.46875,1238171788.5,40.85607343966582,44.87146921786776,6.5448243756396165,13.374806099528442,7.117187553127281e-23,-0.8078254533718574,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.472656,44.476722971890624,1238171788.46875,1238171788.476563,40.52919532370571,48.80873825691914,6.236635227969726,5.981395124884882,6.705659399135517e-23,-2.1458843279786373,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.480468,90.64060004629796,1238171788.476562,1238171788.484375,86.49000849788311,94.990375413757,6.108794607130508,13.374806099528442,2.683251874983668e-23,1.8034747707565253,H1:GWOSC-O3a_4KHZ_R1_Strain,0
1238171788.480468,44.476722971890624,1238171788.476562,1238171788.484375,40.52919532370571,48.80873825691914,6.847133484491985,5.981395124884882,7.362069983106294e-23,-2.142631304351041,H1:GWOSC-O3a_4KHZ_R1_Strain,0
